# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                1022654600.24
2                 451954459.39
4                 545393108.27
8                 502117283.82
16                537173375.07
32                445642004.87
64               1008769219.46
128              1094538906.79
256               589696511.58
512               113459306.40
1024              103439134.82
2048              101162285.46
4096               96279186.90
8192               82218616.15
16384              47518297.27
32768              24173221.55
65536              11635523.95
131072              5892129.06
262144              3023010.26
524288              1500093.87
1048576              735781.56
2097152              376715.85
4194304              189438.52
