SHMEM_BOUNCE_SIZE: 0
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 175925615.31
2                 892443766.57
4                 894950723.40
8                 953327801.41
16                964934941.26
32                106081111.70
64                105214839.39
128                78990320.57
256                73514492.88
512                71614097.61
1024               68964379.23
2048               64268990.53
4096               60688562.45
8192               55631311.72
16384              44297265.19
32768              24102895.86
65536              11899979.44
131072              5940732.11
262144              2971713.52
524288              1485763.96
1048576              742727.72
2097152              366481.61
4194304              185545.86
SHMEM_BOUNCE_SIZE: 512
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 192782664.06
2                1051478897.88
4                 987961996.25
8                 925682535.40
16                988850901.76
32                512012698.26
64                581415283.31
128               579362958.64
256               554857439.76
512               532912596.96
1024               68775040.73
2048               64490053.19
4096               60691495.39
8192               55256497.97
16384              44317644.69
32768              23939441.91
65536              11917416.85
131072              5944669.62
262144              2973984.80
524288              1482640.41
1048576              740177.42
2097152              371333.11
4194304              185636.84
SHMEM_BOUNCE_SIZE: 1024
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 188142216.81
2                 883417398.12
4                 937887984.04
8                 959369313.60
16                989152994.98
32                496669521.74
64                566301157.84
128               569495273.59
256               525485499.23
512               531615480.87
1024              486280998.39
2048               63734935.04
4096               60488013.32
8192               55143629.42
16384              44293739.71
32768              23986891.34
65536              11916463.34
131072              5940926.66
262144              2973685.97
524288              1483045.71
1048576              739618.97
2097152              371378.70
4194304              185592.55
SHMEM_BOUNCE_SIZE: 2048
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 193342874.87
2                1011146604.89
4                1080525238.11
8                1091362856.90
16               1097255377.94
32                505217653.65
64                574823973.38
128               576913957.06
256               527350841.72
512               527316218.48
1024              479992288.62
2048              334921937.38
4096               59631769.52
8192               55280806.19
16384              43984468.02
32768              23968588.39
65536              11910306.86
131072              5938333.16
262144              2970449.77
524288              1485990.60
1048576              739674.51
2097152              371136.22
4194304              185514.13
SHMEM_BOUNCE_SIZE: 4096
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 194023094.39
2                 823823815.73
4                 894440583.29
8                 919118267.26
16                908885768.83
32                499924209.92
64                556921894.54
128               577292303.10
256               526930363.97
512               523367905.62
1024              476078798.55
2048              333396458.86
4096              185062384.47
8192               52357249.05
16384              41789338.95
32768              23763918.86
65536              11893045.54
131072              5938390.02
262144              2970056.12
524288              1481567.15
1048576              739361.46
2097152              371105.55
4194304              185513.18
SHMEM_BOUNCE_SIZE: 8192
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 190491427.46
2                 987399553.71
4                 988636459.87
8                1006761681.30
16               1009942891.42
32                497196261.35
64                568145034.18
128               586491755.82
256               537997535.13
512               531415501.88
1024              482779388.95
2048              334626874.07
4096              184319695.42
8192               87730602.54
16384              39440291.22
32768              23732492.51
65536              11904315.38
131072              5940780.78
262144              2971005.03
524288              1482051.29
1048576              734279.17
2097152              370774.16
4194304              185567.34
SHMEM_BOUNCE_SIZE: 16384
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 188935037.82
2                 948933060.20
4                 985167495.86
8                1010111640.00
16                999655795.49
32                501928788.49
64                545648630.04
128               572060496.63
256               531697791.04
512               520273228.29
1024              471140982.49
2048              332612626.97
4096              183499181.83
8192               86583733.31
16384              47896890.26
32768              23431834.87
65536              11890086.25
131072              5942113.16
262144              2970340.32
524288              1485792.02
1048576              739816.50
2097152              369812.51
4194304              185538.11
