Size,BBSZ=0,BBSZ=512,BBSZ=1024,BBSZ=2048,BBSZ=4096,BBSZ=8192,BBSZ=16384,BBSZ=SHMEMX
1,175925615.31,192782664.06,188142216.81,193342874.87,194023094.39,190491427.46,188935037.82,811167652.71
2,892443766.57,1051478897.88,883417398.12,1011146604.89,823823815.73,987399553.71,948933060.2,559577862.01
4,894950723.4,987961996.25,937887984.04,1080525238.11,894440583.29,988636459.87,985167495.86,634727453.71
8,953327801.41,925682535.4,959369313.6,1091362856.9,919118267.26,1006761681.3,1010111640.0,599109914.57
16,964934941.26,988850901.76,989152994.98,1097255377.94,908885768.83,1009942891.42,999655795.49,632268378.18
32,106081111.7,512012698.26,496669521.74,505217653.65,499924209.92,497196261.35,501928788.49,611576203.45
64,105214839.39,581415283.31,566301157.84,574823973.38,556921894.54,568145034.18,545648630.04,717416652.82
128,78990320.57,579362958.64,569495273.59,576913957.06,577292303.1,586491755.82,572060496.63,752450132.35
256,73514492.88,554857439.76,525485499.23,527350841.72,526930363.97,537997535.13,531697791.04,408379413.6
512,71614097.61,532912596.96,531615480.87,527316218.48,523367905.62,531415501.88,520273228.29,74458587.86
1024,68964379.23,68775040.73,486280998.39,479992288.62,476078798.55,482779388.95,471140982.49,71760334.94
2048,64268990.53,64490053.19,63734935.04,334921937.38,333396458.86,334626874.07,332612626.97,65822305.0
4096,60688562.45,60691495.39,60488013.32,59631769.52,185062384.47,184319695.42,183499181.83,63339928.81
8192,55631311.72,55256497.97,55143629.42,55280806.19,52357249.05,87730602.54,86583733.31,57021145.61
16384,44297265.19,44317644.69,44293739.71,43984468.02,41789338.95,39440291.22,47896890.26,44704330.64
32768,24102895.86,23939441.91,23986891.34,23968588.39,23763918.86,23732492.51,23431834.87,23393376.49
65536,11899979.44,11917416.85,11916463.34,11910306.86,11893045.54,11904315.38,11890086.25,11762159.39
131072,5940732.11,5944669.62,5940926.66,5938333.16,5938390.02,5940780.78,5942113.16,5895191.31
262144,2971713.52,2973984.8,2973685.97,2970449.77,2970056.12,2971005.03,2970340.32,2951112.14
524288,1485763.96,1482640.41,1483045.71,1485990.6,1481567.15,1482051.29,1485792.02,1478252.77
1048576,742727.72,740177.42,739618.97,739674.51,739361.46,734279.17,739816.5,739527.26
2097152,366481.61,371333.11,371378.7,371136.22,371105.55,370774.16,369812.51,369881.41
4194304,185545.86,185636.84,185592.55,185514.13,185513.18,185567.34,185538.11,185016.56
