SHMEM_BOUNCE_SIZE: 0
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 207671755.22
2                 770209129.97
4                 798838139.06
8                 817528165.65
16                775017728.13
32                 85263224.32
64                 84522356.82
128                62580283.48
256                58571507.30
512                57068649.98
1024               55090033.73
2048               51335252.59
4096               48947677.01
8192               45236647.51
16384              39557778.02
32768              23396174.83
65536              11858189.26
131072              5943750.87
262144              2969939.02
524288              1485820.64
1048576              742586.50
2097152              371075.98
4194304              185457.61
SHMEM_BOUNCE_SIZE: 512
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 223242262.80
2                 740913088.29
4                 733407993.78
8                 734496331.84
16                733126888.98
32                424911190.25
64                442412055.64
128               507414076.01
256               471052006.78
512               461506089.32
1024               54746637.08
2048               51469159.84
4096               48962222.98
8192               45170068.97
16384              39184404.19
32768              23381411.69
65536              11883332.09
131072              5941799.40
262144              2972889.93
524288              1487415.44
1048576              743594.11
2097152              371721.60
4194304              185736.69
SHMEM_BOUNCE_SIZE: 1024
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 209298272.80
2                 889119836.91
4                 910867094.41
8                 917542470.40
16                908447159.59
32                421540910.64
64                461727601.32
128               496460554.23
256               456358308.54
512               457353052.98
1024              412613138.81
2048               51135584.67
4096               48407209.10
8192               45369023.16
16384              39190918.72
32768              23370754.15
65536              11851357.36
131072              5936565.73
262144              2970880.07
524288              1486227.19
1048576              742851.47
2097152              371236.56
4194304              185529.15
SHMEM_BOUNCE_SIZE: 2048
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 209254778.29
2                 811843892.55
4                 829959897.80
8                 839841532.30
16                833578487.72
32                414663399.44
64                460263042.74
128               501763456.14
256               453735569.17
512               452965961.28
1024              398239668.65
2048              310981152.92
4096               48299518.24
8192               45449474.77
16384              39079105.06
32768              23428060.22
65536              11849812.44
131072              5941887.18
262144              2970764.56
524288              1485915.88
1048576              742700.88
2097152              371147.66
4194304              185495.32
SHMEM_BOUNCE_SIZE: 4096
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 228322478.95
2                 840690068.98
4                 850937203.00
8                 841189313.91
16                837608200.96
32                413487338.58
64                445404601.61
128               505853784.70
256               454203870.62
512               449102590.55
1024              405629939.64
2048              309068846.89
4096              179545349.35
8192               43069889.38
16384              36976455.99
32768              23307599.02
65536              11853347.29
131072              5939638.78
262144              2970653.01
524288              1486360.23
1048576              742745.67
2097152              371173.08
4194304              185543.57
SHMEM_BOUNCE_SIZE: 8192
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 221576602.21
2                 888026053.52
4                 898043637.16
8                 891900012.54
16                895736803.11
32                409193896.14
64                448071589.61
128               509491873.10
256               456172766.76
512               449623948.56
1024              407246691.16
2048              308035078.03
4096              179007804.06
8192               84131124.15
16384              34626542.90
32768              23284945.18
65536              11865530.33
131072              5939079.38
262144              2971386.99
524288              1486229.90
1048576              742523.34
2097152              371018.08
4194304              185420.97
SHMEM_BOUNCE_SIZE: 16384
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 203303457.41
2                 890834306.37
4                 895362177.08
8                 956302193.48
16                951017232.56
32                417653970.99
64                450454349.16
128               498860006.66
256               448190114.57
512               446867592.46
1024              407202407.14
2048              307599265.35
4096              179556696.61
8192               84492073.08
16384              46760431.60
32768              23199623.90
65536              11863098.98
131072              5943674.61
262144              2973187.42
524288              1486653.52
1048576              743178.48
2097152              371413.71
4194304              185626.86
