Size,BBSZ=0,BBSZ=512,BBSZ=1024,BBSZ=2048,BBSZ=4096,BBSZ=8192,BBSZ=16384,BBSZ=SHMEMX
1,142644860.55,141738161.79,146663552.5,146638664.12,146357013.29,145448746.14,149374521.0,1022654600.24
2,756909043.53,708387582.11,759951932.92,779031767.91,772746633.26,763924841.64,802248027.17,451954459.39
4,837145394.84,914058002.52,795340138.93,991641478.16,844466885.47,871240038.21,805688434.9,545393108.27
8,959280395.99,880012800.12,892080783.94,845219097.91,865783802.77,825110176.18,896655023.85,502117283.82
16,861395120.89,926198939.94,994187016.39,908225718.38,812494598.84,1001809810.28,967837684.4,537173375.07
32,160776638.02,562025073.41,565599388.07,558641829.53,554124274.62,557334368.58,560478662.02,445642004.87
64,159597426.43,785895018.1,789572855.12,787459086.18,768599573.93,781985659.2,776998911.3,1008769219.46
128,119951526.3,648555289.98,658798795.99,660417890.62,649587254.76,653592844.55,654967409.13,1094538906.79
256,112235753.46,726035091.33,716324932.86,715183070.08,697346935.28,702722103.2,704399712.89,589696511.58
512,109453770.97,674693690.95,664783820.53,658726232.35,655057351.39,638737525.85,640962443.49,113459306.4
1024,101539013.78,103556684.12,507777103.86,491550720.01,487469630.43,475303050.45,473774067.16,103439134.82
2048,95320676.42,93092385.41,93363820.67,303754798.24,305586747.4,296676957.71,297189216.61,101162285.46
4096,87883906.31,87717333.92,84999673.68,84698779.13,157825442.75,165404293.46,159982007.88,96279186.9
8192,70421272.6,76672274.43,74860736.2,75682524.56,66981434.44,63458075.96,58940529.69,82218616.15
16384,46268392.23,46362062.16,46342341.25,46281738.02,45402468.53,45919609.75,32257815.11,47518297.27
32768,26015978.69,26269646.8,26393412.7,26122237.1,26482155.86,26564159.94,25690305.12,24173221.55
65536,13196505.53,13193275.18,13421056.31,13370652.91,13297182.16,13180000.25,13162949.33,11635523.95
131072,6706193.85,5931629.71,6659147.23,6544683.09,6659391.83,6545574.92,6768685.29,5892129.06
262144,3299991.27,3249767.17,3307410.05,3311840.77,3297408.88,3230818.95,3140840.63,3023010.26
524288,1657328.39,1688879.55,1672168.36,1660235.5,1670074.8,1670513.62,1622349.93,1500093.87
1048576,836428.72,837930.72,843162.04,820987.44,844894.11,847742.09,836873.35,735781.56
2097152,425307.11,424853.28,414107.11,424445.55,411400.73,416248.72,422799.52,376715.85
4194304,178913.86,183874.42,186196.05,184585.61,182206.86,183332.02,182071.86,189438.52
