# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 721453957.63
2                 633272123.12
4                 717942514.91
8                 689018850.47
16                712302112.09
32                622447356.81
64                706439783.35
128               647538654.34
256               352703378.23
512                58998348.66
1024               56973910.93
2048               53450446.43
4096               50849144.48
8192               46264092.41
16384              40737956.65
32768              23581021.20
65536              11953051.09
131072              5993371.99
262144              3005142.13
524288              1504206.66
1048576              752636.34
2097152              376437.46
4194304              188282.37
