# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 155166357.64
2                 197959127.78
4                 179988884.83
8                 208018057.19
16                225962247.54
32                 71280155.45
64                119081236.73
128               124817042.04
256                14845854.58
512                43279109.66
1024               28344277.17
2048               15490956.94
4096               10536830.07
8192                9509460.16
16384               8104187.09
32768               5763823.67
65536               2905938.36
131072              1461742.42
262144               727906.27
524288               364031.31
1048576              182069.96
2097152               90949.59
4194304               45440.53
