# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 271075084.07
2                 123834773.78
4                 152575206.34
8                 100807186.30
16                101983050.27
32                 84361026.39
64                195677579.81
128               176895583.87
256                14933082.59
512                49954529.17
1024               29430145.05
2048               14293223.34
4096               18091459.11
8192               15978759.31
16384              11401099.55
32768               6150920.92
65536               3191213.92
131072              1623637.87
262144               811989.63
524288               412018.68
1048576              203129.88
2097152               90049.39
4194304               46167.13
