# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 290460555.83
2                 151813258.89
4                 207651871.41
8                 206744042.37
16                150327500.31
32                151204159.94
64                251677906.70
128               270267168.94
256               148009770.51
512                28151333.44
1024               26240158.27
2048               20899179.32
4096               23241340.21
8192               20444400.62
16384              11875427.36
32768               6031257.48
65536               3030630.57
131072              1511856.25
262144               758161.39
524288               377217.11
1048576              185091.36
2097152               84280.22
4194304               46473.74
