# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 183048721.23
2                 183308578.47
4                 187881862.49
8                 183442312.84
16                187650050.95
32                182638457.89
64                180655077.28
128               159757031.15
256                87499554.56
512                14685165.63
1024               14139366.89
2048               13233971.10
4096               12558389.63
8192               11510118.65
16384              10203712.53
32768               5891386.27
65536               2993099.22
131072              1499775.59
262144               751160.31
524288               375981.92
1048576              188174.28
2097152               94119.03
4194304               47065.92
