# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 184996744.05
2                 294935098.32
4                 295183359.85
8                 291846210.61
16                291296255.20
32                 81952294.32
64                145978526.54
128               137641402.00
256                15140832.21
512                44428462.26
1024               28835020.68
2048               15648284.21
4096               14815506.02
8192               13633091.29
16384              10976032.88
32768               6056282.70
65536               2982487.19
131072              1484324.03
262144               743583.72
524288               371766.03
1048576              185780.79
2097152               92868.47
4194304               45860.26
