# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 297630856.06
2                  59269755.38
4                  70550101.48
8                  76106544.33
16                 70923260.05
32                 67088992.43
64                253960897.22
128               269065398.57
256               136877389.60
512                28760884.22
1024               27553964.08
2048               25723962.05
4096               23748844.17
8192               19919417.71
16384              11883211.80
32768               6045069.35
65536               2695785.81
131072              1494794.95
262144               757255.98
524288               379079.55
1048576              167269.50
2097152               94825.22
4194304               47179.14
