# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 216231206.42
2                 171669758.70
4                 178198157.83
8                 176957303.48
16                179987363.31
32                173893639.19
64                212985710.61
128               194161960.77
256               107498339.36
512                18662718.21
1024               17935529.49
2048               16920691.88
4096               16030273.22
8192               14367648.50
16384              11205803.10
32768               5847839.85
65536               2939250.56
131072              1470270.81
262144               738691.78
524288               369600.45
1048576              184881.94
2097152               92439.53
4194304               46254.85
