# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 101810614.92
2                 251929820.84
4                 252791837.77
8                 244087753.83
16                243784285.39
32                126179864.39
64                151065885.78
128               144226288.01
256               140048762.02
512               136730971.87
1024              117075633.60
2048               84152005.10
4096               14861005.57
8192               14010055.86
16384              11284654.83
32768               6077915.38
65536               3005372.17
131072              1492587.40
262144               743266.51
524288               371562.13
1048576              185744.23
2097152               92804.06
4194304               46391.13
