# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 282955064.25
2                 206686984.18
4                 207503052.41
8                 252983249.08
16                262082711.32
32                163391413.89
64                176558958.25
128               181312571.79
256               169404413.79
512               166796632.18
1024              132889042.00
2048               80855054.45
4096               19099065.34
8192               15572437.76
16384              11248804.98
32768               6221319.43
65536               3160964.99
131072              1706735.65
262144               806911.30
524288               399181.65
1048576              206483.49
2097152              104537.48
4194304               45906.36
