# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 180405828.42
2                 180073216.96
4                 188017933.57
8                 183573308.28
16                187879688.69
32                182748534.14
64                180048367.41
128               162104938.00
256                88653195.84
512                14746691.29
1024               14242542.82
2048               13315784.11
4096               12695266.18
8192               11596016.76
16384              10267183.14
32768               5879576.40
65536               2985890.12
131072              1495194.43
262144               750972.64
524288               375970.06
1048576              188136.33
2097152               94050.07
4194304               46682.12
