# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 716460546.64
2                 727413903.68
4                 709253577.16
8                 724657907.70
16                736669036.04
32                712848973.60
64                712846280.36
128               640212400.70
256               349353838.37
512                58959864.17
1024               56834182.49
2048               53479960.87
4096               50911320.33
8192               46391336.71
16384              40829897.36
32768              23598674.96
65536              11950327.55
131072              5990845.90
262144              3004742.44
524288              1503948.59
1048576              752643.62
2097152              376411.33
4194304              188266.09
