# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                1137924107.32
2                 668284277.65
4                 658796410.52
8                 627625202.25
16                619598049.97
32                565173057.75
64                834960725.64
128              1023824722.50
256               595090694.61
512               112536580.48
1024              107931989.91
2048              100278733.92
4096               91662259.39
8192               76540906.60
16384              47384526.95
32768              23275390.38
65536              11770753.14
131072              6064700.69
262144              3026978.13
524288              1513452.60
1048576              757022.89
2097152              376595.69
4194304              183648.32
