SHMEM_BOUNCE_SIZE: 0
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 151794066.22
2                 762012204.74
4                 908242273.85
8                 831460108.27
16                845396360.35
32                160402347.06
64                160182933.11
128               119899762.07
256               112006770.21
512               109552494.30
1024              102858840.86
2048               92688064.56
4096               87570291.79
8192               69023207.05
16384              46623381.55
32768              26369685.36
65536              13466741.38
131072              6740809.02
262144              3342230.74
524288              1663693.32
1048576              820079.58
2097152              425667.86
4194304              185185.38
SHMEM_BOUNCE_SIZE: 512
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 132647691.17
2                 613745010.63
4                 804283662.33
8                 741515906.74
16                661903501.57
32                587111434.11
64                810045322.76
128               666090390.58
256               735235995.98
512               676427479.77
1024              102723787.61
2048               93237242.75
4096               85772247.71
8192               71083133.64
16384              46710418.55
32768              26763040.49
65536              13573158.10
131072              6683299.20
262144              3337227.35
524288              1642020.09
1048576              845549.91
2097152              416436.46
4194304              184230.44
SHMEM_BOUNCE_SIZE: 1024
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 130155565.76
2                 665623933.55
4                 862745277.82
8                 814260279.61
16                764996473.51
32                586264615.88
64                797231435.99
128               674875639.35
256               708789436.11
512               660218440.58
1024              505073442.23
2048               94094429.15
4096               87507699.77
8192               76087814.11
16384              46652596.19
32768              25786697.62
65536              12747104.85
131072              6799497.63
262144              3330721.64
524288              1669163.77
1048576              832221.14
2097152              425031.63
4194304              175427.23
SHMEM_BOUNCE_SIZE: 2048
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 146286193.35
2                 856516518.33
4                1095783798.77
8                1092072472.55
16               1162758727.71
32                599478919.44
64                790715934.76
128               672329534.68
256               709556259.99
512               641565544.00
1024              468284750.49
2048              287875229.41
4096               85011707.00
8192               75965171.28
16384              46702054.50
32768              26365501.56
65536              13524550.27
131072              6416828.53
262144              3321493.83
524288              1689007.40
1048576              849312.54
2097152              420352.18
4194304              185326.15
SHMEM_BOUNCE_SIZE: 4096
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 148754259.71
2                 653983034.93
4                 842990481.55
8                 801153457.89
16                820459681.39
32                597792571.94
64                779937342.67
128               668034842.59
256               712344242.04
512               642095464.13
1024              477698351.21
2048              305001032.93
4096              169132479.65
8192               68702871.40
16384              46436059.83
32768              26302474.93
65536              12849463.69
131072              6886770.06
262144              3277962.08
524288              1663676.86
1048576              843740.93
2097152              420198.95
4194304              183155.26
SHMEM_BOUNCE_SIZE: 8192
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 147420181.52
2                1087458081.94
4                1163283526.32
8                1220830657.63
16               1050415328.26
32                579483475.34
64                779976779.51
128               662459575.34
256               718937899.07
512               647153656.43
1024              487050036.68
2048              286708593.32
4096              163449263.63
8192               64367683.85
16384              46238758.47
32768              26182365.24
65536              13484485.24
131072              6723771.98
262144              3207063.01
524288              1654276.56
1048576              849012.96
2097152              418297.39
4194304              182326.13
SHMEM_BOUNCE_SIZE: 16384
# OSU OpenSHMEM Put Message Rate Test
# Size              Messages/s
1                 179101147.56
2                 963073157.80
4                1081194584.22
8                1057161146.50
16               1066440492.34
32                581054468.00
64                780396754.07
128               657458988.95
256               708746797.47
512               636721809.61
1024              483133502.10
2048              299187494.63
4096              158735117.72
8192               60275092.94
16384              32461922.52
32768              26195608.71
65536              12805201.11
131072              6671854.17
262144              3241901.93
524288              1695510.33
1048576              834852.28
2097152              417180.83
4194304              183294.28
