Size,BBSZ=0,BBSZ=512,BBSZ=1024,BBSZ=2048,BBSZ=4096,BBSZ=8192,BBSZ=16384,BBSZ=SHMEMX
1,222050261.32,215989124.23,229409083.77,201825644.44,220188327.81,209818949.48,224408238.19,716460546.64
2,964290769.62,894247183.53,956399807.2,846022076.66,941078833.4,802983068.77,898678025.07,727413903.68
4,972556287.98,937858385.78,956485881.05,883503512.42,952991478.84,841015272.64,903674984.28,709253577.16
8,969000496.65,876131437.77,957995743.75,894462867.17,956252790.19,821418920.05,902240113.48,724657907.7
16,964089650.43,938830709.03,957050925.11,904262774.9,954507204.68,813993805.13,900772238.23,736669036.04
32,85450249.46,428562096.83,412064339.62,414908656.77,416605030.17,412354984.68,409719476.93,712848973.6
64,84627298.49,470310990.7,461182374.18,458674383.5,453208591.28,448780600.42,441726815.43,712846280.36
128,62545244.12,507704001.69,498350058.57,502383946.97,508687811.52,505480555.19,503358539.42,640212400.7
256,58592483.19,478318362.04,463812109.97,457157540.74,454888617.68,459333298.77,456888286.56,349353838.37
512,57156280.88,463747960.97,455597908.32,452981570.04,449209592.48,442684616.44,450300527.0,58959864.17
1024,55111020.84,54831554.64,414763554.94,406215296.06,406308960.3,405440271.61,409144941.86,56834182.49
2048,51448146.57,51573419.33,51000764.35,310708151.92,311919152.11,311092477.33,306693985.23,53479960.87
4096,48813685.6,48780943.31,48742776.24,48140751.37,180606837.99,179554828.08,179968920.96,50911320.33
8192,45378205.62,45543822.13,45613099.0,45304679.85,42710532.06,85699284.83,86219445.0,46391336.71
16384,39906240.87,39532582.09,39732977.78,39321855.33,36741183.26,34427008.49,46929105.38,40829897.36
32768,23473928.97,23462472.72,23475033.63,23433170.51,23403866.8,23400197.3,23231837.47,23598674.96
65536,11894337.45,11882147.63,11907477.69,11897984.06,11884058.48,11905376.7,11877959.04,11950327.55
131072,5957671.84,5959628.79,5958815.34,5961631.14,5955851.33,5959250.18,5963779.68,5990845.9
262144,2972513.2,2971534.9,2971300.57,2969069.02,2974594.64,2971145.59,2971477.56,3004742.44
524288,1486789.71,1486741.99,1486088.11,1485874.24,1487750.38,1486434.18,1486622.98,1503948.59
1048576,743347.03,742828.07,742635.04,742597.58,743630.16,742936.47,742971.32,752643.62
2097152,371405.17,371206.52,371092.38,371060.28,371576.23,371187.77,371247.88,376411.33
4194304,185624.28,185498.79,185504.62,185421.28,185701.07,185539.61,185544.69,188266.09
