Size,BBSZ=0,BBSZ=512,BBSZ=1024,BBSZ=2048,BBSZ=4096,BBSZ=8192,BBSZ=16384,BBSZ=SHMEMX
1,151794066.22,132647691.17,130155565.76,146286193.35,148754259.71,147420181.52,179101147.56,1137924107.32
2,762012204.74,613745010.63,665623933.55,856516518.33,653983034.93,1087458081.94,963073157.8,668284277.65
4,908242273.85,804283662.33,862745277.82,1095783798.77,842990481.55,1163283526.32,1081194584.22,658796410.52
8,831460108.27,741515906.74,814260279.61,1092072472.55,801153457.89,1220830657.63,1057161146.5,627625202.25
16,845396360.35,661903501.57,764996473.51,1162758727.71,820459681.39,1050415328.26,1066440492.34,619598049.97
32,160402347.06,587111434.11,586264615.88,599478919.44,597792571.94,579483475.34,581054468.0,565173057.75
64,160182933.11,810045322.76,797231435.99,790715934.76,779937342.67,779976779.51,780396754.07,834960725.64
128,119899762.07,666090390.58,674875639.35,672329534.68,668034842.59,662459575.34,657458988.95,1023824722.5
256,112006770.21,735235995.98,708789436.11,709556259.99,712344242.04,718937899.07,708746797.47,595090694.61
512,109552494.3,676427479.77,660218440.58,641565544.0,642095464.13,647153656.43,636721809.61,112536580.48
1024,102858840.86,102723787.61,505073442.23,468284750.49,477698351.21,487050036.68,483133502.1,107931989.91
2048,92688064.56,93237242.75,94094429.15,287875229.41,305001032.93,286708593.32,299187494.63,100278733.92
4096,87570291.79,85772247.71,87507699.77,85011707.0,169132479.65,163449263.63,158735117.72,91662259.39
8192,69023207.05,71083133.64,76087814.11,75965171.28,68702871.4,64367683.85,60275092.94,76540906.6
16384,46623381.55,46710418.55,46652596.19,46702054.5,46436059.83,46238758.47,32461922.52,47384526.95
32768,26369685.36,26763040.49,25786697.62,26365501.56,26302474.93,26182365.24,26195608.71,23275390.38
65536,13466741.38,13573158.1,12747104.85,13524550.27,12849463.69,13484485.24,12805201.11,11770753.14
131072,6740809.02,6683299.2,6799497.63,6416828.53,6886770.06,6723771.98,6671854.17,6064700.69
262144,3342230.74,3337227.35,3330721.64,3321493.83,3277962.08,3207063.01,3241901.93,3026978.13
524288,1663693.32,1642020.09,1669163.77,1689007.4,1663676.86,1654276.56,1695510.33,1513452.6
1048576,820079.58,845549.91,832221.14,849312.54,843740.93,849012.96,834852.28,757022.89
2097152,425667.86,416436.46,425031.63,420352.18,420198.95,418297.39,417180.83,376595.69
4194304,185185.38,184230.44,175427.23,185326.15,183155.26,182326.13,183294.28,183648.32
